index,state_id,state_cancer_incidence_rate,state_mortality_rate,state_target_deathrate
0,AK,354.9652848,124.438557,177.5550692
1,AL,509.0380461,210.1660678,187.5130203
2,AR,495.6678589,219.7633204,191.2049375
3,AZ,396.173733,158.3757624,148.074212
4,CA,401.0401876,145.2417334,152.5072274
5,CO,389.2920122,131.6796969,145.1624729
6,CT,565.431484,188.8948856,156.3633895
7,DC,428.5748288,161.2548124,182.3
8,DE,546.2326124,200.2253857,177.7390529
9,FL,522.8537296,206.1201306,161.611506
10,GA,433.3329125,160.0464621,172.9227628
11,HI,462.2378824,159.4116439,138.0140803
12,IA,541.8185305,205.084605,170.6467011
13,ID,436.8463337,155.1739158,154.9377044
14,IL,502.758516,188.541275,175.8456023
15,IN,480.6576753,199.6017934,184.7833043
16,KS,7006.014526,183.6420069,167.8163917
17,KY,559.4435985,223.1119741,201.3574494
18,LA,498.5282815,198.1959806,192.939235
19,MA,531.7302929,190.4944968,167.4711564
20,MD,455.1353576,166.9962515,161.539787
21,ME,617.9061902,241.1744882,181.3153883
22,MI,538.6557109,205.5019227,176.4041186
23,MN,3110.468434,173.8197761,160.6786412
24,MO,509.8474569,208.3074185,180.4994823
25,MS,503.3460257,212.868646,198.4912936
26,MT,516.6558675,186.9735423,159.0192275
27,NC,481.1000349,181.000383,172.7942691
28,ND,456.5532875,168.4268508,155.075358
29,NE,468.2796903,179.8072549,166.2890889
30,NH,568.2364754,196.3763933,168.9372052
31,NJ,536.4582525,184.9963826,163.3161015
32,NM,418.556753,163.3404747,149.1012393
33,NV,1154.172937,159.2959844,168.722726
34,NY,532.9062122,179.5533202,159.3628017
35,OH,537.9329128,224.1523858,184.2721762
36,OK,474.3900936,202.1303196,188.2157164
37,OR,490.5564282,191.3383939,168.7211877
38,PA,591.6281781,224.7825488,177.3623254
39,RI,550.1295466,210.9098809,172.9524412
40,SC,485.9332218,193.9893132,180.4776864
41,SD,483.7494931,188.8892107,163.7923925
42,TN,502.3137484,206.9350349,191.1262185
43,TX,368.8806811,144.3486942,162.7762619
44,UT,307.0197271,93.10815881,127.5928889
45,VA,423.0807103,165.0539702,159.4096439
46,VT,566.7351392,211.9666093,171.2432885
47,WA,465.4304929,166.4772059,165.2809971
48,WI,512.2383254,195.5179536,169.74642
49,WV,603.5372816,256.7066928,195.7119335
50,WY,434.3916725,163.6220008,160.2090622
